,number,value,datetime_start,datetime_complete,duration,params_epochs,state
0,0,0.7986666666666666,2020-11-07 11:04:06.905672,2020-11-07 11:45:51.215914,0 days 00:41:44.310242,200,COMPLETE
1,1,0.7933333333333333,2020-11-07 11:45:51.217166,2020-11-07 12:51:31.541845,0 days 01:05:40.324679,300,COMPLETE
2,2,0.7693333333333333,2020-11-07 12:51:31.542842,2020-11-07 13:42:17.011013,0 days 00:50:45.468171,250,COMPLETE
3,3,0.788,2020-11-07 13:42:17.012010,2020-11-07 14:32:55.488184,0 days 00:50:38.476174,250,COMPLETE
4,4,0.788,2020-11-07 14:32:55.489471,2020-11-07 15:23:32.130156,0 days 00:50:36.640685,250,COMPLETE
5,5,0.45866666666666667,2020-11-07 15:23:32.131337,2020-11-07 15:23:56.518802,0 days 00:00:24.387465,300,PRUNED
6,6,0.6266666666666667,2020-11-07 15:23:56.519799,2020-11-07 15:25:21.664476,0 days 00:01:25.144677,150,PRUNED
7,7,0.5493333333333333,2020-11-07 15:25:21.665441,2020-11-07 15:25:58.190977,0 days 00:00:36.525536,300,PRUNED
8,8,0.528,2020-11-07 15:25:58.191975,2020-11-07 15:26:52.357925,0 days 00:00:54.165950,300,PRUNED
9,9,0.456,2020-11-07 15:26:52.358848,2020-11-07 15:27:04.699508,0 days 00:00:12.340660,150,PRUNED
