,number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0,0.7386666666666667,2020-11-07 16:32:00.758579,2020-11-07 16:42:44.900185,0 days 00:10:44.141606,1.8556787113924504e-05,COMPLETE
1,1,0.78,2020-11-07 16:42:44.901229,2020-11-07 16:53:26.102325,0 days 00:10:41.201096,5.8197619361201566e-05,COMPLETE
2,2,0.7213333333333334,2020-11-07 16:53:26.103316,2020-11-07 17:04:06.943111,0 days 00:10:40.839795,1.279516181484522e-05,COMPLETE
3,3,0.7106666666666667,2020-11-07 17:04:06.944513,2020-11-07 17:14:47.479187,0 days 00:10:40.534674,1.185530409767076e-05,COMPLETE
4,4,0.7106666666666667,2020-11-07 17:14:47.480347,2020-11-07 17:25:54.018234,0 days 00:11:06.537887,1.0681806778932667e-05,COMPLETE
5,5,0.756,2020-11-07 17:25:54.019268,2020-11-07 17:36:23.647789,0 days 00:10:29.628521,4.600967269896505e-05,COMPLETE
6,6,0.768,2020-11-07 17:36:23.647789,2020-11-07 17:46:52.001158,0 days 00:10:28.353369,9.880838894352205e-05,COMPLETE
7,7,0.516,2020-11-07 17:46:52.002155,2020-11-07 17:47:44.215600,0 days 00:00:52.213445,1.2598538640186692e-05,PRUNED
8,8,0.5226666666666666,2020-11-07 17:47:44.215600,2020-11-07 17:48:26.071633,0 days 00:00:41.856033,1.668659961281695e-05,PRUNED
9,9,0.636,2020-11-07 17:48:26.072322,2020-11-07 17:50:41.800370,0 days 00:02:15.728048,1.4723360443715454e-05,PRUNED
