,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_lr,state
0,0,0.19866666666666666,2020-11-13 00:08:56.868585,2020-11-13 01:18:20.371837,0 days 01:09:23.503252,0.30000000000000004,0.0771832430728707,COMPLETE
1,1,0.58,2020-11-13 01:18:20.372362,2020-11-13 02:27:45.036952,0 days 01:09:24.664590,0.2,0.012200341711794151,COMPLETE
2,2,0.2,2020-11-13 02:27:45.038035,2020-11-13 03:37:24.372099,0 days 01:09:39.334064,0.4,0.06702411291998293,COMPLETE
3,3,0.588,2020-11-13 03:37:24.373025,2020-11-13 04:47:05.613623,0 days 01:09:41.240598,0.5,0.00801507989069184,COMPLETE
4,4,0.616,2020-11-13 04:47:05.614595,2020-11-13 05:56:45.923134,0 days 01:09:40.308539,0.5,0.0047103989879687955,COMPLETE
5,5,0.2,2020-11-13 05:56:45.925102,2020-11-13 07:06:26.753604,0 days 01:09:40.828502,0.30000000000000004,0.016844355600226128,COMPLETE
6,6,0.2,2020-11-13 07:06:26.754602,2020-11-13 08:16:38.655243,0 days 01:10:11.900641,0.2,0.07265661106410248,COMPLETE
7,7,0.5906666666666667,2020-11-13 08:16:38.656240,2020-11-13 09:31:14.587782,0 days 01:14:35.931542,0.5,0.004573093830527861,COMPLETE
8,8,0.6186666666666667,2020-11-13 09:31:14.588780,2020-11-13 10:45:37.744498,0 days 01:14:23.155718,0.2,0.0016744064347642006,COMPLETE
9,9,0.6013333333333334,2020-11-13 10:45:37.745392,2020-11-13 12:00:35.338038,0 days 01:14:57.592646,0.5,0.010183148648539836,COMPLETE
10,10,0.612,2020-11-13 12:00:35.339035,2020-11-13 13:13:25.348042,0 days 01:12:50.009007,0.1,0.0010448706685628982,COMPLETE
