,number,value,datetime_start,datetime_complete,duration,params_image_size,params_lr,state
0,0,0.792,2020-11-07 00:57:19.587460,2020-11-07 01:28:46.274279,0 days 00:31:26.686819,"(180, 180)",5.183728125747747e-05,COMPLETE
1,1,0.7746666666666666,2020-11-07 01:28:46.276104,2020-11-07 01:59:12.133543,0 days 00:30:25.857439,"(180, 180)",1.9638603640945156e-05,COMPLETE
2,2,0.7773333333333333,2020-11-07 01:59:12.134334,2020-11-07 02:29:37.426469,0 days 00:30:25.292135,"(180, 180)",2.966984195271893e-05,COMPLETE
3,3,0.7453333333333333,2020-11-07 02:29:37.427632,2020-11-07 03:00:03.507334,0 days 00:30:26.079702,"(180, 180)",1.8186741053376132e-05,COMPLETE
4,4,0.756,2020-11-07 03:00:03.508331,2020-11-07 03:30:28.771038,0 days 00:30:25.262707,"(180, 180)",1.5186977027814027e-05,COMPLETE
5,5,0.7373333333333333,2020-11-07 03:30:28.772205,2020-11-07 04:12:27.542744,0 days 00:41:58.770539,"(224, 224)",8.964459722859616e-05,COMPLETE
6,6,0.38666666666666666,2020-11-07 04:12:27.543741,2020-11-07 04:12:39.775065,0 days 00:00:12.231324,"(180, 180)",1.099545821354794e-05,PRUNED
7,7,0.5026666666666667,2020-11-07 04:12:39.776062,2020-11-07 04:13:13.450166,0 days 00:00:33.674104,"(224, 224)",4.019389139386791e-05,PRUNED
8,8,0.7533333333333333,2020-11-07 04:13:13.451161,2020-11-07 04:55:12.097000,0 days 00:41:58.645839,"(224, 224)",9.287732983477829e-05,COMPLETE
9,9,0.396,2020-11-07 04:55:12.097747,2020-11-07 04:55:24.369205,0 days 00:00:12.271458,"(180, 180)",1.592274863546509e-05,PRUNED
10,10,0.34933333333333333,2020-11-07 04:55:24.370131,2020-11-07 04:55:36.619306,0 days 00:00:12.249175,"(180, 180)",4.9004253528596615e-05,PRUNED
11,11,0.4866666666666667,2020-11-07 04:55:36.620243,2020-11-07 04:55:48.879048,0 days 00:00:12.258805,"(180, 180)",5.712550524494558e-05,PRUNED
12,12,0.484,2020-11-07 04:55:48.880046,2020-11-07 04:56:01.202669,0 days 00:00:12.322623,"(180, 180)",2.8822007358208308e-05,PRUNED
13,13,0.41733333333333333,2020-11-07 04:56:01.203535,2020-11-07 04:56:13.501440,0 days 00:00:12.297905,"(180, 180)",3.091700754969134e-05,PRUNED
14,14,0.48133333333333334,2020-11-07 04:56:13.502410,2020-11-07 04:56:25.826662,0 days 00:00:12.324252,"(180, 180)",7.148480481819807e-05,PRUNED
15,15,0.472,2020-11-07 04:56:25.827659,2020-11-07 04:56:38.093760,0 days 00:00:12.266101,"(180, 180)",2.5319503640814738e-05,PRUNED
16,16,0.48933333333333334,2020-11-07 04:56:38.094757,2020-11-07 04:56:55.021912,0 days 00:00:16.927155,"(224, 224)",4.016375539037836e-05,PRUNED
17,17,0.476,2020-11-07 04:56:55.022790,2020-11-07 04:57:07.240931,0 days 00:00:12.218141,"(180, 180)",6.216836064559078e-05,PRUNED
18,18,0.4826666666666667,2020-11-07 04:57:07.241928,2020-11-07 04:57:19.529188,0 days 00:00:12.287260,"(180, 180)",4.061557758918224e-05,PRUNED
19,19,0.5133333333333333,2020-11-07 04:57:19.529872,2020-11-07 04:57:44.030015,0 days 00:00:24.500143,"(180, 180)",2.4180144928062453e-05,PRUNED
20,20,0.5426666666666666,2020-11-07 04:57:44.031012,2020-11-07 04:58:34.509757,0 days 00:00:50.478745,"(224, 224)",4.7037145916048454e-05,PRUNED
21,21,0.4826666666666667,2020-11-07 04:58:34.510755,2020-11-07 04:58:46.800639,0 days 00:00:12.289884,"(180, 180)",2.116872596309576e-05,PRUNED
22,22,0.4,2020-11-07 04:58:46.801636,2020-11-07 04:58:59.125800,0 days 00:00:12.324164,"(180, 180)",1.0406173485739493e-05,PRUNED
23,23,0.45066666666666666,2020-11-07 04:58:59.125800,2020-11-07 04:59:11.463583,0 days 00:00:12.337783,"(180, 180)",3.296192294736116e-05,PRUNED
24,24,0.48933333333333334,2020-11-07 04:59:11.464690,2020-11-07 04:59:23.711050,0 days 00:00:12.246360,"(180, 180)",1.2688168687075114e-05,PRUNED
