,number,value,datetime_start,datetime_complete,duration,params_dropout,params_dropout_rate,params_image_size,params_lr,params_optimizer,state
0,0,0.59,2020-11-26 14:40:53.342856,2020-11-26 14:42:46.287193,0 days 00:01:52.944337,True,0.4,"(224, 224)",0.0065112217354531595,<class 'torch.optim.sgd.SGD'>,COMPLETE
1,1,0.5,2020-11-26 14:42:46.288190,2020-11-26 14:44:08.750480,0 days 00:01:22.462290,True,0.1,"(150, 150)",0.007506472654283477,<class 'torch.optim.sgd.SGD'>,COMPLETE
2,2,0.2,2020-11-26 14:44:08.751477,2020-11-26 14:46:45.712276,0 days 00:02:36.960799,True,0.30000000000000004,"(224, 224)",0.0029875754545559455,<class 'torch.optim.adam.Adam'>,COMPLETE
3,3,0.39,2020-11-26 14:46:45.713274,2020-11-26 14:48:17.212898,0 days 00:01:31.499624,False,0.2,"(180, 180)",0.005045980629027501,<class 'torch.optim.sgd.SGD'>,COMPLETE
4,4,0.2,2020-11-26 14:48:17.213895,2020-11-26 14:51:02.093993,0 days 00:02:44.880098,False,0.30000000000000004,"(224, 224)",0.008138908571578564,<class 'torch.optim.adam.Adam'>,COMPLETE
5,5,0.2,2020-11-26 14:51:02.093993,2020-11-26 14:51:15.623705,0 days 00:00:13.529712,False,0.1,"(150, 150)",0.001768548326838294,<class 'torch.optim.adam.Adam'>,PRUNED
6,6,0.2,2020-11-26 14:51:15.623705,2020-11-26 14:51:28.961410,0 days 00:00:13.337705,True,0.30000000000000004,"(180, 180)",0.004941484088172725,<class 'torch.optim.sgd.SGD'>,PRUNED
7,7,0.2,2020-11-26 14:51:28.961410,2020-11-26 14:51:44.900787,0 days 00:00:15.939377,True,0.4,"(180, 180)",0.002951298798206117,<class 'torch.optim.adam.Adam'>,PRUNED
8,8,0.2,2020-11-26 14:51:44.900787,2020-11-26 14:52:00.116004,0 days 00:00:15.215217,True,0.4,"(180, 180)",0.0011765214242770497,<class 'torch.optim.sgd.SGD'>,PRUNED
9,9,0.2,2020-11-26 14:52:00.116004,2020-11-26 14:52:12.109990,0 days 00:00:11.993986,False,0.2,"(180, 180)",0.009617969831008573,<class 'torch.optim.sgd.SGD'>,PRUNED
10,10,0.4,2020-11-26 14:52:12.110987,2020-11-26 14:54:02.572949,0 days 00:01:50.461962,True,0.5,"(224, 224)",0.004777214696658105,<class 'torch.optim.sgd.SGD'>,COMPLETE
11,11,0.2,2020-11-26 14:54:02.573946,2020-11-26 14:54:14.685125,0 days 00:00:12.111179,True,0.5,"(150, 150)",0.007336518343239993,<class 'torch.optim.sgd.SGD'>,PRUNED
12,12,0.2,2020-11-26 14:54:14.686122,2020-11-26 14:54:26.497395,0 days 00:00:11.811273,True,0.1,"(150, 150)",0.006140512486904749,<class 'torch.optim.sgd.SGD'>,PRUNED
13,13,0.204,2020-11-26 14:54:26.498392,2020-11-26 14:54:37.631304,0 days 00:00:11.132912,True,0.4,"(150, 150)",0.009667490452714221,<class 'torch.optim.sgd.SGD'>,PRUNED
14,14,0.316,2020-11-26 14:54:37.631304,2020-11-26 14:56:11.605059,0 days 00:01:33.973755,True,0.2,"(224, 224)",0.0037182063056265314,<class 'torch.optim.sgd.SGD'>,PRUNED
15,15,0.44,2020-11-26 14:56:11.606048,2020-11-26 14:58:02.255467,0 days 00:01:50.649419,True,0.4,"(224, 224)",0.007088689052315788,<class 'torch.optim.sgd.SGD'>,COMPLETE
16,16,0.2,2020-11-26 14:58:02.256465,2020-11-26 14:58:13.215659,0 days 00:00:10.959194,True,0.5,"(150, 150)",0.0022717134751698903,<class 'torch.optim.sgd.SGD'>,PRUNED
17,17,0.196,2020-11-26 14:58:13.216665,2020-11-26 14:58:16.048870,0 days 00:00:02.832205,True,0.1,"(150, 150)",0.009577086210731164,<class 'torch.optim.sgd.SGD'>,PRUNED
18,18,0.2,2020-11-26 14:58:16.048870,2020-11-26 14:58:30.788564,0 days 00:00:14.739694,True,0.2,"(224, 224)",0.0039256428767323265,<class 'torch.optim.sgd.SGD'>,PRUNED
19,19,0.36,2020-11-26 14:58:30.789562,2020-11-26 15:00:20.294768,0 days 00:01:49.505206,True,0.4,"(224, 224)",0.006227706980212663,<class 'torch.optim.sgd.SGD'>,COMPLETE
20,20,0.2,2020-11-26 15:00:20.294768,2020-11-26 15:00:31.186471,0 days 00:00:10.891703,True,0.30000000000000004,"(150, 150)",0.005950000447602267,<class 'torch.optim.sgd.SGD'>,PRUNED
21,21,0.196,2020-11-26 15:00:31.186471,2020-11-26 15:00:34.993381,0 days 00:00:03.806910,True,0.4,"(224, 224)",0.0075771412760784074,<class 'torch.optim.sgd.SGD'>,PRUNED
22,22,0.2,2020-11-26 15:00:34.994351,2020-11-26 15:00:46.080152,0 days 00:00:11.085801,True,0.4,"(224, 224)",0.007769549616311738,<class 'torch.optim.sgd.SGD'>,PRUNED
23,23,0.24,2020-11-26 15:00:46.081150,2020-11-26 15:01:00.791254,0 days 00:00:14.710104,True,0.5,"(224, 224)",0.006604345787187711,<class 'torch.optim.sgd.SGD'>,PRUNED
24,24,0.2,2020-11-26 15:01:00.792251,2020-11-26 15:01:11.842852,0 days 00:00:11.050601,True,0.4,"(224, 224)",0.004168757053988708,<class 'torch.optim.sgd.SGD'>,PRUNED
25,25,0.2,2020-11-26 15:01:11.843832,2020-11-26 15:01:23.485068,0 days 00:00:11.641236,True,0.30000000000000004,"(224, 224)",0.009287310519221286,<class 'torch.optim.sgd.SGD'>,PRUNED
26,26,0.2,2020-11-26 15:01:23.485068,2020-11-26 15:01:33.493793,0 days 00:00:10.008725,True,0.5,"(150, 150)",0.005315580936487837,<class 'torch.optim.adam.Adam'>,PRUNED
27,27,0.43,2020-11-26 15:01:33.494778,2020-11-26 15:03:30.592507,0 days 00:01:57.097729,False,0.4,"(224, 224)",0.008482343854690233,<class 'torch.optim.sgd.SGD'>,COMPLETE
28,28,0.2,2020-11-26 15:03:30.593504,2020-11-26 15:03:45.829952,0 days 00:00:15.236448,True,0.30000000000000004,"(224, 224)",0.006700654573170534,<class 'torch.optim.sgd.SGD'>,PRUNED
29,29,0.2,2020-11-26 15:03:45.830952,2020-11-26 15:04:02.521344,0 days 00:00:16.690392,True,0.30000000000000004,"(224, 224)",0.0031980428414317393,<class 'torch.optim.adam.Adam'>,PRUNED
30,30,0.264,2020-11-26 15:04:02.522341,2020-11-26 15:04:14.167902,0 days 00:00:11.645561,True,0.4,"(150, 150)",0.0043839513432292945,<class 'torch.optim.sgd.SGD'>,PRUNED
31,31,0.47,2020-11-26 15:04:14.167902,2020-11-26 15:06:06.817396,0 days 00:01:52.649494,False,0.4,"(224, 224)",0.008108350227466922,<class 'torch.optim.sgd.SGD'>,COMPLETE
32,32,0.2,2020-11-26 15:06:06.817396,2020-11-26 15:06:18.252268,0 days 00:00:11.434872,False,0.4,"(224, 224)",0.005545002355475513,<class 'torch.optim.sgd.SGD'>,PRUNED
33,33,0.2,2020-11-26 15:06:18.252268,2020-11-26 15:06:29.824810,0 days 00:00:11.572542,False,0.5,"(224, 224)",0.008160879574694292,<class 'torch.optim.sgd.SGD'>,PRUNED
