,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_epochs,params_image_size,params_lr,params_optimizer,state
0,0,0.19,2020-11-05 14:16:00.057795,2020-11-05 14:22:41.246547,0 days 00:06:41.188752000,0.5,35,"(150, 150)",1.6449297681251342e-06,<class 'torch.optim.sgd.SGD'>,COMPLETE
1,1,0.706,2020-11-05 14:22:41.247541,2020-11-05 14:30:46.014004,0 days 00:08:04.766463000,0.4,30,"(224, 224)",2.1446600604737007e-05,<class 'torch.optim.rmsprop.RMSprop'>,COMPLETE
2,2,0.244,2020-11-05 14:30:46.016021,2020-11-05 14:36:49.901540,0 days 00:06:03.885519000,0.2,30,"(180, 180)",3.8655002406586664e-05,<class 'torch.optim.sgd.SGD'>,COMPLETE
3,3,0.704,2020-11-05 14:36:49.902537,2020-11-05 14:48:11.651995,0 days 00:11:21.749458000,0.30000000000000004,60,"(150, 150)",0.087974474781399,<class 'torch.optim.sgd.SGD'>,COMPLETE
4,4,0.756,2020-11-05 14:48:11.652992,2020-11-05 14:55:38.599442,0 days 00:07:26.946450000,0.30000000000000004,30,"(180, 180)",7.776845360410497e-05,<class 'torch.optim.rmsprop.RMSprop'>,COMPLETE
5,5,0.328,2020-11-05 14:55:38.600439,2020-11-05 14:56:29.948662,0 days 00:00:51.348223000,0.4,60,"(180, 180)",2.662398390539704e-06,<class 'torch.optim.adam.Adam'>,PRUNED
6,6,0.756,2020-11-05 14:56:29.948662,2020-11-05 15:13:52.702036,0 days 00:17:22.753374000,0.1,55,"(300, 300)",0.00021422819925085232,<class 'torch.optim.rmsprop.RMSprop'>,COMPLETE
7,7,0.222,2020-11-05 15:13:52.703033,2020-11-05 15:14:07.986194,0 days 00:00:15.283161000,0.5,50,"(180, 180)",0.02613031057540784,<class 'torch.optim.adam.Adam'>,PRUNED
8,8,0.21,2020-11-05 15:14:07.986194,2020-11-05 15:14:22.523503,0 days 00:00:14.537309000,0.5,60,"(150, 150)",2.873850413996306e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
9,9,0.194,2020-11-05 15:14:22.523503,2020-11-05 15:14:36.091222,0 days 00:00:13.567719000,0.4,50,"(180, 180)",0.01739332409389705,<class 'torch.optim.rmsprop.RMSprop'>,PRUNED
